"
			WEBSALE		",http://www.dug-software.de/,"
			Keine Angabe seitens der Agentur		"
"
			Gambio		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",https://www.meinemediacard.de,"
			Business & Industrie		","
			Gambio SetupUpdate Gambio GX zu GX2Gambio Template DesignGambio HostingLogodesignProdukteinpflegeNamensfindungZahlsystemeSuchmaschinenoptimierungPlastikkarten bedrucken		"
"
			Magento		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",http://www.premium-kaffeeshop.de/,"
			Lebensmittel, Getränke & Tabak		","
			Shopsystem: Magentof Magento Setupf Template Anpassungf Produkteinpflegef Kleinunternehmer optimiertf Warenwirtschaftf Zahlsystemef Suchmaschinenoptimierung		"
"
			Shopware		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",http://www.nuru-massage-gel.de/,"
			Beauty, Gesundheit, Drogerie		","
			Shopsystem: Shopwaref Shopware Einrichtungf Grafikdesignf Gutscheinef Ecommerce Beratungf Facebook Anbindungf Texterstellung		"
"
			Plentymarkets		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",https://www.steinpalast.eu/,"
			Spielzeug & Modellbau		","
			Shopsystem: plentymarketsf Einrichtung plentymarketsf Design Ebay Templatef Einrichtung Ebay Schnittstellef Zahlsystemef Suchmaschinenoptimierung		"
"
			Gambio		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",http://www.luenedruck.de/,"
			Verschiedenes, Sonstiges		","
			Gambio SetupUpdate Gambio GX zu GX2Gambio Template DesignGambio HostingLogodesignProdukteinpflegeNamensfindungZahlungssystemeSuchmaschinenoptimierungHTML5 Multi File Upload		"
"
			Gambio		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",http://www.benobikes-shop.de/,"
			Sportartikel  & Freizeit		","
			Gambio SetupGambio Template DesignGambio HostingZahlsysteme		"
"
			Gambio		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",http://www.okura-software.de/,"
			Computer, Tablets, Netzwerk, Software, Zubehör		","
			Gambio SetupGambio Template DesignGambio HostingLogodesignProduktdesignNamensfindungZahlsysteme		"
"
			Gambio		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",#,"
			Erotik		","
			Gambio SetupGambio Template DesignGambio HostingGutscheineMulitchannel EcommerceZahlsystemeFacebook Anbindung		"
"
			Shopware		",http://www.media-orange.de/,"
			DE		","
			29525		","
			Uelzen		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keinkunde,"
			keine Angabe		","
			Keine Angabe seitens der Agentur		"
"
			Magento		",http://www.lindenvalley.de/,"
			DE		","
			80333		","
			München		",http://www.thegoodwillout.com/,"
			Schuhe		","
			Der ursprüngliche XT:Commerce Shop, Version 3.04 SP 2.1, konnte den wachsenden Anforderungen nicht mehr gerecht werden. Deswegen war schnell klar, dass Magento Community Edition eine hochperformante und zukunftsorientierte eCommerce-Alternative bietet.		"
"
			xt Commerce		",http://www.lindenvalley.de/,"
			DE		","
			80333		","
			München		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keinkunde,"
			keine Angabe		","
			Keine Angabe seitens der Agentur		"
"
			Magento		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.jumping-star.de/,"
			Sportartikel  & Freizeit		","
			Komplettumsetzung		"
"
			Magento		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.miomond.de/,"
			Uhren & Schmuck		","
			Komplettumsetzung		"
"
			Magento		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.feinfix.de,"
			Lebensmittel, Getränke & Tabak		","
			Komplettumsetzung		"
"
			Magento		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.profilaminat.de/,"
			Heimwerker & Baumarkt		","
			Komplettumsetzung		"
"
			Magento		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.stuckleisten24.de,"
			Heimwerker & Baumarkt		","
			Komplettumsetzung		"
"
			Magento		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.profilaminat.de/,"
			Heimwerker & Baumarkt		","
			Komplettumsetzung		"
"
			OXID eSales		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.luomofashion.de/,"
			Handtaschen, Rucksäcke & Koffer		","
			Komplettumsetzung		"
"
			OXID eSales		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://earthback.com/,"
			Bekleidung & Accessories		","
			Komplettumsetzung		"
"
			OXID eSales		",http://www.exconcept.de/,"
			DE		","
			70173		","
			Stuttgart		",http://www.universalhandel24.de/,"
			Bekleidung & Accessories		","
